GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APLBE001,APLBE002,APLBE003,APLBE004,APLBE005,APLBE006,APYUE001,APYUE002,APYUE003,APYUE004,APYUE005,APYUE006,APYUE007,APYUE008,APYUE009,APYUE010,APYUE011,APYUE012,APYUE013,APYUE014,APYUE015,APYUE016,APYUE017,APYUE018,APYUE019,APYUE020,APYUE021,APYUE022,APYUE023,APYUE024,APYUE025,APYUE026,APYUE027,APYUE028,APYUE029,APYUE030,APYUE031,APYUE032,APYUE033,APYUE034,APYUE035,APYUE036,APYUE037,APYUE038,APYUE039,APYUE040,APYUE041,APYUE042,APYUE043,APYUE044,APYUE045,APYUE046,APYUE047,APYUE048,APYUE049,APYUE050,APYUE051,APYUE052,APYUE053,APYUE054,APYUE055,APYUE056,APYUE057,APYUE058,APYUE059,AP38E001,NAME_M,APLBM001,APLBM002,APLBM003,APLBM004,APLBM005,APLBM006,APYUM001,APYUM002,APYUM003,APYUM004,APYUM005,APYUM006,APYUM007,APYUM008,APYUM009,APYUM010,APYUM011,APYUM012,APYUM013,APYUM014,APYUM015,APYUM016,APYUM017,APYUM018,APYUM019,APYUM020,APYUM021,APYUM022,APYUM023,APYUM024,APYUM025,APYUM026,APYUM027,APYUM028,APYUM029,APYUM030,APYUM031,APYUM032,APYUM033,APYUM034,APYUM035,APYUM036,APYUM037,APYUM038,APYUM039,APYUM040,APYUM041,APYUM042,APYUM043,APYUM044,APYUM045,APYUM046,APYUM047,APYUM048,APYUM049,APYUM050,APYUM051,APYUM052,APYUM053,APYUM054,APYUM055,APYUM056,APYUM057,APYUM058,APYUM059,AP38M001
"G0801230","2022","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"0500000US08123","08123","Weld County, Colorado",350176,312009,273,4517,13286,20091,345091,30807,13148,744,0,1534,538,564,862,2162,1068,2116,414,1589,938,619,17659,532,152,1306,714,305,636,2399,2632,3326,1887,1489,912,1369,314284,162888,10908,834,16989,5923,3063,3586,12693,26213,25354,20928,17134,12530,6733,151396,10500,2756,13569,5243,1887,4296,12350,22494,21292,17870,17218,13914,8007,0.4222,"Weld County, Colorado",,4622,258,2002,2371,3940,706,5457,3141,599,218,900,361,772,587,1134,553,886,347,850,547,382,3013,374,182,822,520,266,550,1335,850,1313,769,564,592,611,5497,3380,775,434,1915,1501,943,884,1320,838,993,511,879,576,470,3117,606,1028,1640,1251,671,803,1242,986,1412,821,689,674,698,0.0174
"G0901100","2022","CT",,,"Connecticut","09","Capitol Planning Region","110",,,,,,,,,,,,,,,,,,"0500000US09110","09110","Capitol Planning Region, Connecticut",981447,771798,41800,12307,90126,65416,944074,96850,42824,4931,582,4995,2716,708,781,5855,5459,4699,3362,3867,2900,1969,54026,2906,523,4799,1770,1272,861,6737,8218,6261,5263,6080,4498,4838,847224,417088,20582,3302,28797,15096,6021,10991,36676,57209,56820,53139,58861,43109,26485,430136,21104,3538,28640,14413,5756,10165,33487,53561,57535,54719,61513,48320,37385,0.4758,"Capitol Planning Region, Connecticut",,8325,5100,2484,6090,6804,1367,9391,5367,2276,456,1281,1050,550,469,1566,1515,1711,1145,1046,790,818,5078,1206,403,1503,972,824,483,1925,1810,1530,1345,1660,1035,936,9570,5616,2277,1019,2719,2293,1210,1252,1981,1666,1823,1194,1067,809,973,5184,1183,1081,2761,2456,1222,1154,2447,1776,1544,1363,1726,1060,970,0.0106
"G0901200","2022","CT",,,"Connecticut","09","Greater Bridgeport Planning Region","120",,,,,,,,,,,,,,,,,,"0500000US09120","09120","Greater Bridgeport Planning Region, Connecticut",327286,244353,10863,4550,35331,32189,317039,42701,18696,1291,325,2341,1133,93,827,2705,1273,1958,2494,2037,1917,302,24005,1554,345,1274,717,494,622,2844,3545,2254,1770,3846,1717,3023,274338,137046,7398,2483,8196,5283,1859,4331,10438,16803,18643,18934,20430,13389,8859,137292,6649,1497,10270,5322,2599,2859,9662,14817,18391,20503,19846,14217,10660,0.5348,"Greater Bridgeport Planning Region, Connecticut",,6480,2232,1446,4487,5674,830,6342,3568,643,327,1150,494,107,506,1307,677,800,1194,1070,950,283,3977,804,352,568,481,425,507,1233,1311,901,859,1657,630,848,6228,3814,795,1024,1379,1398,967,953,1407,957,1060,1292,1167,887,441,4050,886,792,1440,1352,668,838,1271,1311,1006,861,1656,755,904,0.0214
"G0901300","2022","CT",,,"Connecticut","09","Lower Connecticut River Valley Planning Region","130",,,,,,,,,,,,,,,,,,"0500000US09130","09130","Lower Connecticut River Valley Planning Region, Connecticut",176622,159617,1537,677,9218,5573,166849,12261,5446,123,95,344,255,90,209,143,562,206,617,1620,824,358,6815,424,182,307,161,0,106,466,799,787,799,911,641,1232,154588,76432,3514,644,4565,2648,626,1906,3753,9475,10290,10992,12259,9521,6239,78156,2713,762,3508,3152,798,1726,4697,8415,10090,10800,12754,10718,8023,0.4668,"Lower Connecticut River Valley Planning Region, Connecticut",,2197,744,350,1760,1776,1532,2837,1645,148,153,347,293,138,242,138,449,232,323,786,455,242,1648,356,293,295,269,224,185,403,490,438,454,471,326,692,3403,1930,658,355,775,790,318,423,1139,837,958,931,559,538,334,2114,366,361,679,735,278,345,1059,668,1067,813,429,616,785,0.0543
"G0901400","2022","CT",,,"Connecticut","09","Naugatuck Valley Planning Region","140",,,,,,,,,,,,,,,,,,"0500000US09140","09140","Naugatuck Valley Planning Region, Connecticut",454083,359384,18714,5658,41165,29162,447221,41864,16896,1506,217,1543,524,233,569,2029,2024,2082,2188,1597,1384,1000,24968,785,0,2005,1245,168,962,2353,3111,4310,3041,2562,2293,2133,405357,202739,10982,3014,12509,8248,2251,5958,15926,28055,26716,25256,29342,21410,13072,202618,9018,3310,12827,5520,2815,4182,15684,26145,25480,25937,30405,23449,17846,0.4543,"Naugatuck Valley Planning Region, Connecticut",,7078,3555,2439,5308,5062,1320,6354,3133,901,259,826,469,330,419,958,1162,1088,999,675,676,589,4183,578,224,1044,731,212,630,1128,1036,1477,1057,989,911,707,6381,3382,1198,1114,1918,1572,981,981,1623,2179,1777,1484,722,944,679,4204,1047,1510,1767,1364,951,1034,1650,1535,1476,1236,1001,914,802,0.0196
"G0901500","2022","CT",,,"Connecticut","09","Northeastern Connecticut Planning Region","150",,,,,,,,,,,,,,,,,,"0500000US09150","09150","Northeastern Connecticut Planning Region, Connecticut",96196,89809,825,1187,2146,2229,95320,8078,3720,68,0,352,692,0,484,210,504,511,371,394,93,41,4358,365,0,262,81,0,11,524,394,630,241,508,977,365,87242,44001,2054,378,3323,1311,349,1378,3667,6041,5017,6088,6907,4574,2914,43241,1782,617,2280,1876,135,1203,2658,5302,6261,5892,6827,5230,3178,0.4133,"Northeastern Connecticut Planning Region, Connecticut",,2143,725,1200,821,1786,117,3013,1727,101,224,408,613,224,870,264,522,422,298,268,94,70,1824,480,224,338,141,224,22,485,333,496,194,378,1168,305,3016,1762,347,240,960,678,202,275,576,660,708,717,644,123,239,2247,737,516,731,846,168,193,632,820,1417,465,623,518,308,0.0419
"G0901600","2022","CT",,,"Connecticut","09","Northwest Hills Planning Region","160",,,,,,,,,,,,,,,,,,"0500000US09160","09160","Northwest Hills Planning Region, Connecticut",113234,99673,471,586,8160,4344,112158,8860,3669,51,0,277,54,42,115,248,1100,525,208,489,560,0,5191,429,184,119,281,97,31,616,441,508,366,1196,615,308,103298,50750,1721,442,2874,2157,994,1114,3171,5390,5653,9002,7536,6670,4026,52548,1710,279,3409,2094,680,1202,3210,5380,6695,7646,8807,6625,4811,0.4416,"Northwest Hills Planning Region, Connecticut",,2418,373,315,1559,1872,112,2148,951,65,224,293,94,70,176,287,787,179,203,214,232,224,1495,339,231,145,393,161,55,474,374,429,343,591,362,193,2174,1144,79,358,627,671,390,453,514,1086,720,1045,384,527,97,1761,541,197,735,730,324,503,891,840,967,937,666,485,327,0.0262
"G0901700","2022","CT",,,"Connecticut","09","South Central Connecticut Planning Region","170",,,,,,,,,,,,,,,,,,"0500000US09170","09170","South Central Connecticut Planning Region, Connecticut",573244,476153,18500,5100,38797,34694,548218,59322,25613,2797,215,3242,1080,421,628,2453,2097,3283,3171,3111,2088,1027,33709,2839,360,3615,1276,385,725,4058,4681,3947,2431,2967,4017,2408,488896,240599,11542,3760,14186,9146,3682,6210,19991,34813,30609,29495,34957,25224,16984,248297,10989,2139,14304,8707,2501,6397,17087,32900,31914,33197,37880,27965,22317,0.4821,"South Central Connecticut Planning Region, Connecticut",,5308,3073,1191,3742,3860,526,6203,3178,1271,292,1075,721,305,448,1153,821,1042,1014,1050,809,527,4057,1169,330,1329,636,356,548,1357,1187,1403,1061,1061,1004,774,6204,3593,1276,1189,2029,1463,1001,1017,1670,844,1090,1012,1056,884,604,4199,1168,975,1705,1716,881,1104,1843,1171,1404,1083,1087,1060,881,0.0174
"G0901800","2022","CT",,,"Connecticut","09","Southeastern Connecticut Planning Region","180",,,,,,,,,,,,,,,,,,"0500000US09180","09180","Southeastern Connecticut Planning Region, Connecticut",280403,249672,5569,3165,11853,10144,268737,29881,13317,529,78,1156,607,963,267,2702,1274,693,1230,1876,1670,272,16564,953,158,873,524,239,37,2864,1824,3346,884,2435,1412,1015,238856,120747,5391,1109,7840,4795,1489,2049,8900,17295,16235,14382,18276,13378,9608,118109,6003,999,7916,3814,1723,2855,7344,14096,13187,14936,17983,15217,12036,0.4625,"Southeastern Connecticut Planning Region, Connecticut",,2786,1321,1248,1597,1867,589,4545,2591,476,101,661,441,654,253,1007,559,485,709,732,676,184,2653,645,271,598,342,254,61,1591,715,1096,401,854,682,394,4518,2474,501,555,1237,1049,607,670,1414,944,1001,1051,820,917,535,2882,831,585,1376,1368,730,556,1551,813,1224,824,833,711,648,0.0156
"G0901900","2022","CT",,,"Connecticut","09","Western Connecticut Planning Region","190",,,,,,,,,,,,,,,,,,"0500000US09190","09190","Western Connecticut Planning Region, Connecticut",623690,462678,2380,10868,77272,70492,614491,45878,17343,1180,214,1714,1927,341,670,1073,2258,2512,1604,1383,1636,831,28535,1212,285,1510,1334,423,1291,2912,3087,3468,2911,4025,2530,3547,568613,285547,14208,3042,21862,11247,3406,8631,23999,34371,37428,39714,42717,27338,17584,283066,14531,3748,18671,10586,4076,7583,21674,32865,37308,39844,42132,28892,21156,0.5373,"Western Connecticut Planning Region, Connecticut",,6424,912,2361,4856,5855,1487,6522,3207,685,253,820,1055,334,775,799,950,951,730,790,817,406,4287,837,212,934,813,400,752,1216,1311,951,1035,1258,860,940,6996,3605,1057,967,2396,1340,819,947,837,953,972,757,795,1009,660,4687,1086,1277,1683,1320,1015,1180,1215,1319,960,1044,1281,866,968,0.0107
"G1000010","2022","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"0500000US10001","10001","Kent County, Delaware",186946,169303,2192,2313,7950,5188,182448,17094,7284,292,93,491,609,67,495,720,488,530,670,1189,911,729,9810,230,100,1214,320,272,356,756,825,1261,869,1466,1229,912,165354,81407,5133,1277,6593,3074,778,2524,7100,12477,10021,8501,10508,8095,5326,83947,5404,1375,6503,2284,754,1685,6279,12609,11338,8525,10417,9251,7523,0.4001,"Kent County, Delaware",,2987,1357,1092,2295,1740,636,3598,1750,312,165,426,637,115,486,638,303,310,516,576,546,438,2254,211,171,723,252,306,407,475,450,556,515,662,592,382,3630,2117,632,772,1277,999,531,725,816,879,686,710,693,543,316,2246,623,725,1076,973,465,614,593,845,824,921,674,699,537,0.0232
"G1000030","2022","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"0500000US10003","10003","New Castle County, Delaware",575494,494583,5649,6265,41598,27399,559867,53722,23979,2272,664,2455,1636,356,322,3115,3281,2231,1403,2691,2336,1217,29743,2125,436,2218,1587,51,793,3375,2538,5348,1819,5140,2129,2184,506145,248116,13196,3693,16622,9260,3138,7021,20200,35063,34817,32136,33532,24544,14894,258029,13068,1966,16455,10430,3019,6881,17826,38006,32677,34111,34484,28827,20279,0.4425,"New Castle County, Delaware",,4820,1456,1538,4727,3466,961,6745,3731,971,530,1211,672,380,301,1342,1206,943,684,926,1003,489,4374,1248,473,956,784,90,626,1124,613,1692,669,1271,836,764,6880,3857,1191,1369,1797,1673,1070,1114,1370,1174,947,716,979,924,459,4294,1286,966,1817,1454,953,908,1363,750,1695,736,1283,880,794,0.0149
"G1000050","2022","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"0500000US10005","10005","Sussex County, Delaware",255956,235298,382,1301,7431,11544,252792,22469,10965,1571,107,1166,768,0,173,251,1053,1653,1060,1411,1057,695,11504,582,233,1229,551,135,518,607,1119,1667,963,1246,1604,1050,230323,111159,4350,849,5963,3734,1253,2277,7638,10775,10960,10655,18017,21739,12949,119164,4843,486,7355,2109,1709,1928,6810,10715,11450,11242,21667,24443,14407,0.4525,"Sussex County, Delaware",,2426,223,462,1209,2325,614,3999,2166,543,130,788,489,203,203,297,744,825,571,554,475,372,2286,504,254,1005,423,192,450,367,542,750,503,514,527,420,3989,2268,667,405,1108,923,556,554,573,1054,1137,745,609,681,575,2289,513,287,935,719,638,621,515,594,1030,985,507,650,479,0.0197
"G1100010","2022","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"0500000US11001","11001","District of Columbia, District of Columbia",671803,558085,2362,11458,50845,49053,642853,85676,38164,2435,61,3471,2650,568,124,5581,6147,4346,3674,3698,3437,1972,47512,3294,551,4590,1416,800,722,7063,6721,5210,2509,6474,4405,3757,557177,268187,17603,2333,19728,6426,1898,5391,14783,60119,50532,32276,27064,18136,11898,288990,15654,4020,15464,7660,3113,3299,17925,70792,50885,32506,25978,23398,18296,0.5111,"District of Columbia, District of Columbia",,7535,1025,2142,4761,5959,463,10339,5705,1484,106,1573,1945,685,167,1708,1420,1302,1327,1131,694,789,6179,1562,474,2157,882,546,663,1676,1784,1519,1068,1405,1175,843,10369,5799,1485,875,2559,2270,841,1316,1782,1541,1395,1361,1164,942,991,6328,1566,1354,2441,1792,964,838,1687,1809,1510,1094,1409,1167,867,0.0104
"G1200010","2022","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"0500000US12001","12001","Alachua County, Florida",284030,244504,4041,3676,17282,14527,267956,51815,24667,1127,131,613,302,278,106,12637,2424,1290,1755,1470,1179,1355,27148,407,183,1544,334,305,0,12301,3360,1436,1428,2150,1537,2163,216141,106624,6644,1397,6445,5633,1241,2292,10922,17484,13178,13135,11598,10788,5867,109517,4795,1297,7335,3274,1871,1709,12406,16832,14879,12410,12057,13046,7606,0.5148,"Alachua County, Florida",,4711,1800,1304,2373,3439,708,5620,3131,752,155,412,286,302,146,2185,1111,674,969,622,522,758,3991,340,222,905,351,294,239,2277,1259,802,648,971,790,1293,5563,3257,1003,733,947,1059,501,539,2132,1206,1126,1331,847,1034,690,4385,878,744,1212,1076,755,558,2161,1309,1305,1522,1116,1303,1007,0.0317
"G1200050","2022","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"0500000US12005","12005","Bay County, Florida",185134,167478,1960,3560,6826,5310,181870,19711,8758,1098,0,983,798,318,174,627,354,1177,716,1048,872,593,10953,394,63,1056,573,0,113,859,1625,1487,2104,740,1499,440,162159,80917,3843,789,5160,3115,904,1241,5653,12792,10353,11025,12467,8428,5147,81242,4431,978,6183,2028,956,2329,5531,10166,10562,9161,12937,9262,6718,0.4818,"Bay County, Florida",,2329,838,1091,1552,1507,658,3980,1860,627,239,699,490,366,185,409,316,853,382,465,405,282,2569,411,110,802,489,239,112,456,933,761,915,367,585,257,4071,2039,388,527,1116,890,447,487,764,900,1031,771,665,514,390,3025,685,653,1348,852,397,894,686,1210,1182,824,482,678,449,0.0327
"G1200090","2022","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"0500000US12009","12009","Brevard County, Florida",630693,547682,10165,10052,41825,20969,621629,60456,27885,1535,467,2621,857,1024,526,2320,3070,1918,3776,3582,3325,2864,32571,1420,169,1320,1321,715,805,3366,4260,2937,2963,5010,5048,3237,561173,278576,12528,3021,15934,9313,3456,5494,20116,33763,34238,31929,44171,37801,26812,282597,11200,2988,14731,9724,2298,6631,17464,28180,34889,34035,46185,39699,34573,0.4469,"Brevard County, Florida",,4684,2620,2296,4348,3706,1632,6799,3896,798,572,1018,614,726,401,915,1308,842,1492,831,974,869,4440,881,187,775,844,504,537,1207,1108,1040,987,1177,1059,881,7157,4110,959,1037,1839,1698,979,969,944,1701,911,1514,911,1101,890,4495,941,1111,1836,1410,736,944,1303,1321,1417,1126,1177,1149,1004,0.0130
"G1200110","2022","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"0500000US12011","12011","Broward County, Florida",1947026,1154322,36609,24989,442470,288636,1928519,256237,114863,10885,1795,11771,5848,1990,5000,10275,11884,11391,10368,15436,9057,9163,141374,9739,1876,11858,6499,3108,5763,10761,17021,16658,11815,14309,15474,16493,1672282,832751,41806,7516,54350,30777,9822,19222,64320,113035,120430,117782,117102,82217,54372,839531,41248,7648,50614,29626,7633,19043,62190,107449,116121,119459,119639,88162,70699,0.4873,"Broward County, Florida",,15143,5713,3574,12685,14569,1804,19717,9684,2462,901,2607,1680,1099,1486,2102,2510,2351,2412,2387,1799,1585,11760,2203,1083,2500,1971,1700,2051,2307,2762,2867,2322,2303,2148,1940,20118,9828,2539,1869,3717,2951,1691,2028,2157,2529,2366,2447,2361,1813,1559,11984,2312,1736,3386,3399,1871,2279,2342,2782,2971,2303,2336,2132,1941,0.0095
"G1200150","2022","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"0500000US12015","12015","Charlotte County, Florida",202661,178931,1352,1292,14976,6110,198957,17033,8700,160,42,256,84,40,176,634,384,14,755,2164,2620,1371,8333,215,130,120,39,92,0,544,388,364,746,2012,2043,1640,181924,88787,2862,763,3748,1709,895,1710,4725,7743,7056,8697,14074,17824,16981,93137,2270,393,3126,2976,578,1052,4511,6579,7459,9448,16851,20373,17521,0.4349,"Charlotte County, Florida",,2763,843,561,1907,1835,220,2908,2022,239,76,273,145,74,227,593,285,6,555,690,1366,848,1494,225,160,151,70,160,239,447,376,285,344,815,800,551,2926,2015,618,504,877,677,471,477,995,1276,958,1274,791,1196,921,1758,554,313,1002,1052,356,502,842,965,841,554,1023,1016,926,0.0240
"G1200170","2022","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"0500000US12017","12017","Citrus County, Florida",162529,153377,1025,1006,5020,2101,159751,29597,15241,867,222,1477,701,442,466,1571,1390,1408,1673,2395,1289,1340,14356,589,156,1250,517,343,100,683,1288,1315,1282,2232,1728,2873,130154,64644,2651,308,2944,1430,393,1105,3224,5669,5749,5955,9963,14195,11058,65510,1700,73,2271,1414,469,1215,3172,4864,5084,7580,11783,14824,11061,0.5019,"Citrus County, Florida",,2009,646,506,1362,999,792,5333,3292,694,275,838,469,423,355,1257,704,727,889,775,558,613,2602,549,165,721,363,392,144,608,717,688,672,738,644,847,5279,3138,766,272,889,733,302,488,588,851,942,916,986,977,789,2815,615,145,538,608,403,559,681,781,713,834,1002,848,773,0.0746
"G1200190","2022","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"0500000US12019","12019","Clay County, Florida",226589,202918,3849,4897,10111,4814,223498,19823,7817,1008,0,924,1157,104,0,543,207,667,428,1043,1128,608,12006,890,341,382,60,98,564,1666,1543,1560,1637,1614,1166,485,203675,102895,4933,1577,7842,3285,2091,2850,8554,13681,14230,14124,14217,10031,5480,100780,4676,1596,6270,5244,1337,2809,6513,12483,13881,13101,13955,10759,8156,0.3916,"Clay County, Florida",,3192,1399,1437,2450,1753,1012,5438,2904,618,239,834,1081,194,239,475,258,520,334,552,780,437,3171,679,399,450,104,162,611,1047,945,782,893,785,575,403,5480,3040,1168,1074,1565,1124,693,941,919,913,996,865,629,770,541,3166,1016,909,1196,1229,592,697,1198,1531,1577,1255,824,881,708,0.0286
"G1200210","2022","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"0500000US12021","12021","Collier County, Florida",397994,288799,5148,5975,50755,47317,393949,41322,16876,1593,615,1679,417,432,539,1533,1237,2542,782,2069,1253,2185,24446,1553,40,2485,1132,274,1053,1770,2247,2459,1356,3420,3033,3624,352627,178291,6574,817,10374,4984,2130,3292,11428,17233,17604,20576,24582,27969,30728,174336,6068,1763,7881,4128,1494,2905,9514,14084,16971,20416,25829,30048,33235,0.5414,"Collier County, Florida",,5342,2223,2019,4060,5304,369,6462,3229,805,475,826,311,412,440,891,422,1158,451,931,408,788,3869,937,66,1083,604,271,737,889,957,752,546,1173,910,1047,6542,3333,1274,408,1818,1289,822,1098,963,739,1492,1017,973,602,970,4010,1187,779,1515,1199,643,677,1073,1186,978,904,1185,927,1094,0.0159
"G1200230","2022","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"0500000US12023","12023","Columbia County, Florida",71908,67927,752,452,1466,1311,67987,13852,7201,894,218,1149,331,99,479,523,1401,337,482,694,271,323,6651,379,0,835,275,0,0,605,940,818,280,1306,597,616,54135,26991,1013,154,2452,1108,206,623,2059,3002,3463,3643,3345,3430,2493,27144,1448,541,1213,910,186,780,2096,2767,3415,3934,3440,3731,2683,0.4729,"Columbia County, Florida",,868,683,348,499,592,416,3023,1781,585,302,675,404,167,478,500,715,292,382,425,236,292,1797,301,239,538,290,239,239,394,543,521,234,553,439,515,2999,1898,532,196,784,724,228,418,464,826,383,421,398,405,288,1884,435,382,531,546,198,515,959,674,758,593,707,379,628,0.0407
"G1200310","2022","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"0500000US12031","12031","Duval County, Florida",1016536,861904,15021,15029,71127,53455,994766,137025,60699,6940,811,8955,5233,614,1605,6678,5752,4810,4042,7664,4974,2621,76326,8727,629,5155,3616,533,2780,8635,10900,8092,6316,8914,7425,4604,857741,421133,24908,5896,27161,15230,4228,12074,33168,73983,62189,52627,51456,36955,21258,436608,21650,5852,26440,18326,4882,9617,32637,69663,61588,54173,56345,43718,31717,0.4538,"Duval County, Florida",,8018,3061,2942,5346,6324,1823,13186,7040,1860,654,2430,1936,702,707,1980,1630,1479,1468,1736,1139,766,7682,1952,511,1621,1472,377,1158,1998,2226,1824,1615,1917,1364,967,13377,7104,1866,1662,2961,2532,959,1278,2064,1668,1421,1528,1768,1130,831,7823,1901,1708,3136,2760,1201,1684,2005,2380,1836,1639,1936,1327,1040,0.0119
"G1200330","2022","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"0500000US12033","12033","Escambia County, Florida",324878,299828,1621,5624,9055,8750,304342,49909,22390,2580,679,2526,1296,500,1636,2865,1199,1798,1843,3412,1038,1018,27519,2056,127,1915,1352,744,1511,2562,4218,3789,1654,3020,2602,1969,254433,125354,6755,1138,10230,2784,840,2275,10939,20104,16529,15037,16389,14150,8184,129079,6663,884,7444,5182,1126,2078,10205,17621,16198,15709,18486,16678,10805,0.4531,"Escambia County, Florida",,2804,839,1288,1544,2008,1803,6325,3301,932,738,1251,709,457,696,1321,577,874,871,1020,430,389,4107,1092,175,853,922,540,705,1226,1200,1288,747,854,894,829,6483,3485,1267,671,1675,925,527,764,1858,1262,1105,1018,1008,592,594,4800,1149,527,1697,1409,563,720,1678,1322,1443,1055,883,1033,1009,0.0183
"G1200350","2022","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"0500000US12035","12035","Flagler County, Florida",126705,106562,1170,1671,11918,5384,125683,11531,4986,812,0,926,0,0,0,59,950,459,419,682,608,71,6545,1600,160,547,0,0,0,236,833,771,193,1183,491,531,114152,56267,1380,481,3129,1233,1071,1210,3087,5361,5767,6524,8495,10051,8478,57885,884,839,3186,1432,262,666,3281,5060,5251,7912,9654,11561,7897,0.4533,"Flagler County, Florida",,2910,673,933,2064,1724,448,3205,1742,658,239,870,239,239,239,103,642,393,435,385,536,122,2019,1000,317,582,239,239,239,331,549,739,223,587,304,302,3170,2548,855,673,839,755,658,904,565,769,810,900,778,884,690,1828,589,892,1132,720,263,498,623,956,826,548,643,685,669,0.0410
"G1200530","2022","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"0500000US12053","12053","Hernando County, Florida",206896,181571,5510,1394,12147,6274,203355,23921,9431,950,148,397,132,318,236,731,907,1246,1052,1235,1273,806,14490,1022,697,704,560,47,111,1205,2041,1398,806,1723,2598,1578,179434,89833,3560,1452,4369,3773,681,2632,5829,10715,9869,11320,12854,12479,10300,89601,3182,699,5846,1379,1230,2017,5610,9660,10638,10673,13929,13097,11641,0.4327,"Hernando County, Florida",,2969,1591,533,2092,2177,1373,4638,2147,647,174,481,172,308,238,570,541,593,605,618,548,585,3030,544,571,474,422,85,153,814,736,751,522,650,919,526,4719,2375,579,604,812,1002,534,908,603,909,939,983,645,788,829,3092,726,513,1169,672,564,536,977,1138,1032,811,665,945,539,0.0305
"G1200550","2022","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"0500000US12055","12055","Highlands County, Florida",105618,88163,5033,1245,6618,4559,104289,15080,8340,207,385,633,217,0,268,504,569,817,687,1964,868,1221,6740,166,311,127,88,0,127,453,851,449,676,1596,623,1273,89209,41904,877,184,2204,1417,504,1058,2866,3802,4379,4164,4876,7279,8294,47305,1864,689,1948,1908,391,1544,2259,3666,4367,5001,6033,8933,8702,0.4584,"Highlands County, Florida",,1796,1675,637,1646,1689,371,3266,2049,286,495,553,262,239,419,363,516,778,416,738,438,616,1700,183,409,165,154,239,231,344,557,448,549,642,303,492,3387,1865,522,297,807,687,377,576,750,743,918,878,804,674,552,2391,915,582,722,987,348,923,519,852,915,836,797,510,546,0.0387
"G1200570","2022","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"0500000US12057","12057","Hillsborough County, Florida",1513301,1135410,54110,21932,157818,144031,1482234,190472,85811,8580,637,10065,4257,2068,1702,9310,11639,7695,7041,10656,6742,5419,104661,6953,1868,7454,4718,561,2663,12779,16543,11580,8452,12536,9885,8669,1291762,647996,34384,6494,45802,24393,8199,16746,55634,99970,100173,90562,78051,54802,32786,643766,33326,8045,43933,20909,7510,16799,48209,95567,95150,88860,79017,61902,44539,0.4866,"Hillsborough County, Florida",,10967,6844,3309,8334,11499,2911,15357,8771,2630,533,2318,2091,808,743,1604,2315,1783,1449,2148,1218,1317,8600,1862,1166,1694,1466,357,1001,2147,2793,2176,1897,1788,2144,1379,15297,8594,2616,1512,3429,2736,1617,1647,1878,2394,1783,1487,2135,1236,1353,8936,2051,1702,3390,2696,1537,1750,2403,2835,2176,1878,1855,2174,1398,0.0104
